Cottbus ,CBU
Cebu City ,CEB
Cedar City (UT),CDC
Ceduna,CED
Cessnock,CES
Chabarovsk (Khabarovsk),KHV
Chambery,CMF
Champaign (IL),CMI
Chandigarh ,IXC
ChangchunJilin, PR ,CGQ
Chania,CHQ
Chaoyang, Beijing ,CHG
Charleston (SC),CHS
Charlotte (NC),CLT
Charlottesville (VA),CHO
Charters Towers,CXT
Chattanooga (TN),CHA
Chengdu ,CTU
Chennai (Madras),MAA
Cheyenne (WY) ,CYS
Chiang Mai ,CNX
Chiba City,QCB
Chicago (IL), Midway,MDW
Chichen Itza,CZA
Chico (CA),CIC
Chihuahua ,CUU
Chios,JKH
Chipata,CIP
Chisinau ,KIV
Chita (Tschita),HTA
Sapporo ,CTS
Chitral,CJL
Chittagong,CGP
Chongqing ,CKG
Christchurch,CHC
Chub Cay,CCZ
Churchill,YYQ
Cienfuegos ,CFG
Cincinnati (OH) ,CVG
Ciudad Del Carmen,CME
Clarksburg (WV),CKB
Clermont,CMQ
Cleveland (OH) , Burke Lakefront,BKL
Cochabamba,CBB
Cochin,COK
Cody/Powell/Yellowstone (WY),COD
Coffmann Cove (AK),KCC
Coffs Harbour,CFS
Coimbatore,CJB
Colima,CLQ
College Station/Bryan (TX),CLL
Collinsville,KCE
Cologne ,CGN
Colombo ,CMB
Colorado Springs (CO),COS
Columbia (SC) ,CAE
Columbus (GA),CSG
Conakry ,CKY
Concord (CA) ,CCR
Constantine,CZL
Constanta (Constanța) ,CND
Coober Pedy,CPD
Cooktown,CTN
Cooma,OOM
Copenhagen ,CPH
Cordoba,COR
Cordova (AK),CDV
Corfu,CFU
Cork,ORK
Corpus Christi (TX),CRP
Cotonou ,COO
Coventry ,CVT
Cozmel,CZM
Craig (AK),CGA
Crescent City (CA),CEC
Cuiaba ,CGB
Culiacan,CUL
Curacao ,CUR
Curitiba ,CWB
Cuyo,CYU
Dakar ,DKR
Dalaman,DLM
Dalby,DBY
Dalian ,DLC
Dallas (TX) , Love Field,DAL
Dallas/Ft. Worth (TX) ,DFW
DaloaCote d'Ivoire,DJO
Damascus, ,DAM
Dammam, King Fahad Saudi Arabien,DMM
Danville (VA),DAN
Dar es Salam (Daressalam) ,DAR
Darwin,DRW
Daydream Island,DDI
Dayton (OH),DAY
Daytona Beach (FL),DAB
Decatur (IL),DEC
Deer Lake/Corner Brook,YDF
Delhi,DEL
Den Haag (The Hague),HAG
Denizli,DNZ
Denpasar/Bali,DPS
Denver (CO) ,DEN
Dera Ismail Khan ,DSK
Derby,DRB
Derry (Londonderry),LDY
Des Moines (IA) ,DSM
Detroit (MI) , Coleman A. Young Municipal,DET
Devils Lake (ND),DVL
Devonport,DPO
Dhahran,DHA
Dhaka ,DAC
Dili ,DIL
Dillingham (AK),DLG
Dinard,DNR
Disneyland Paris,DLP
Djerba,DJE
 (city) ,JIB
Dodoma ,DOD
Doha ,DOH
Doncaster/Sheffield, Robin Hood  ,DSA
Donegal (Carrickfin),CFN
Dortmund,DTM
Dothan (AL),DHN
Douala,DLA
Dresden ,DRS
Dubai ,DXB
Dubbo,DBO
Dublin ,DUB
Dubois (PA),DUJ
Dubrovnik (Hrvatska),DBV
Dubuque IA,DBQ
Duesseldorf ,DUS
Duluth (MN) /Superior (WI),DLH
Dundee,DND
Dunedin,DUD
Dunk Island,DKI
Durango (CO),DRO
Durban,DUR
Dushanbe (Duschanbe) ,DYU
Dutch Harbor (AK),DUT
Dysart,DYA
DzaoudziMayotte,DZA
East London,ELS
Easter Island,IPC
Eau Clarie (WI),EAU
Edinburgh ,EDI
Edmonton,YEA
Egilsstadir,EGS
Eindhoven,EIN
Samana ,AZS
Elba Island, Marina Di Campo,EBA
Elat,ETH
Elkhart (IN),EKI
Elko (NV),EKO
Ellisras,ELL
El Minya,EMY
Elmira (NY),ELM
Ely (NV),ELY
Emerald,EDR
Enontekioe,ENF
Entebbe ,EBB
Erfurt ,ERF
Erie (PA),ERI
Eriwan (Yerevan, Jerevan),EVN
Erzincan,ERC
Erzurum,ERZ
Esbjerg,EBJ
Escanaba (MI),ESC
Esperance,EPR
Eugene (OR),EUG
Eureka (CA),ACV
Evansville (IN),EVV
Evenes,EVE
Exeter,EXT
Fairbanks (AK),FAI
Fair Isle (Shetland),FIE
Faisalabad,LYP
Fargo (ND) (MN),FAR
Farmington (NM),FMN
Faro,FAO
Faroer ,FAE
Fayetteville (AR),FYV
Fayetteville/Ft. Bragg (NC),FAY
Fes,FEZ
Figari,FSC
Flagstaff (AZ),FLG
Flin Flon,YFO
Flint (MI),FNT
Florence (Firenze) ,FLR
Florianopolis,FLN
Floro,FRO
Fort Albert,YFA
Fortaleza ,FOR
Foula (Shetland),FOU
Francistown,FRW
Frankfurt/Main ,FRA
Frankfurt/Hahn,HHN
Franklin/Oil City (PA),FKL
Fredericton,YFC
Freeport ,FPO
Freetown ,FNA
Frejus,FRJ
Fresno (CA),FAT
Friedrichshafen ,FDH
Fuerteventura,FUE
Fujairah,  ,FJR
Fukuoka,F
Fukushima ,FKS
Funchal,FNC
FutunaWallis and Futuna Islands,FUT
Gaborone ,GBE
Gadsden (AL),GAD
Gainesville (FL),GNV
Galway,GWY
Gander,YQX
Garoua,GOU
Gaza City ,GZA
Gaziantep,GZT
Gdansk,GDN
Geelong,GEX
Geneva ,GVA
Genoa,GOA
George,GRJ
Georgetown ,GEO
Geraldton,GET
Gerona,GRO
Ghent (Gent),GNE
GibraltarGibraltar,GIB
Gilette (WY),GCC
Gilgit,GIL
Gillam,YGX
Gladstone,GLT
Glasgow, Prestwick,PIK
Glendive (MT),GDV
Goa,GOI
Goiania, Santa Genoveva ,GYN
Gold Coast,OOL
Goondiwindi,GOO
Goose Bay,YYR
Gorna,GOZ
Gothenburg (Göteborg) ,GOT
Gove (Nhulunbuy),GOV
Govenors Harbour,GHB
Granada,GRX
Grand Bahama ,FPO
Graz,GRZ
Great Falls (MT),GTF
Green Bay (WI),GRB
Greenbrier/Lewisburg (WV),LWB
Greensboro/Winston Salem (NC),GSO
Greenville (MS),GLH
Greenville/Spartanburg (SC),GSP
 ,GND
Grenoble,GNB
Griffith,GFF
Groningen ,GRQ
Groote Eylandt ,GTE
Groton/New London (CT),GON
Guadalajara,GDL
Guadalcanal,GSI
GuamGuam,GUM
Guangzhou (Canton) ,CAN
Sao Paulo ,GRU
 City ,GUA
Guayaquil ,GYE
GuernseyChannel Islands,GCI
Guettin,GTI
Gulfport/Biloxi (MS),GPT
Guilin ,KWL
Gulu,ULU
Gunnison/Crested Butte (CO),GUC
Guwahati,GAU
Gwadar,GWD
Gweru,GWE
Gympie,GYP
Hachijo Jima,HAC
Hagåtña ,GUM
Haifa,HFA
Haines (AK),HNS
Hakodate,HKD
Halifax ,YHZ
Hall Beach,YUX
Hamburg ,HAM
Hamilton,HLT
Hammerfest,HFT
Hancock (MI),CMX
Hangchow (Hangzhou)Zhejiang, PR ,HGH
Hannover,HAJ
Hanoi ,HAN
Harare ,HRE
Harbin (Haerbin)Heilongjiang, PR ,HRB
Harlingen/South Padre Island (TX),HRL
Harrington Harbour, PQ,YHR
Harrisburg (PA) ,HAR
Hartford (CT) /Springfield (MA),BDL
Hatyai (Hat Yai),HDY
Haugesund,HAU
Havana ,HAV
Havre (MT),HVR
Hayman Island,HIS
Helena (MT),HLN
Helsingborg,JHE
Helsinki ,HEL
Heraklion,HER
Hermosillo ,HMO
Hervey Bay,HVB
Hibbing (MN),HIB
Hickory (NC),HKY
Hilo (HI),ITO
Hilton Head Island (SC),HHH
Hinchinbrook Island,HNK
Hiroshima ,HIJ
Ho Chi Minh City (Saigon) ,SGN
Hobart,HBA
Hof,HOQ
Holguin,HOG
Home Hill,HMH
Homer (AK),HOM
Hong Kong ,HKG
Honiara Henderson ,HIR
Honolulu (HI) ,HNL
Hoonah (AK),HNH
Horta,HOR
Houston (TX) , Hobby,HOU
HuahineFrench Polynesia,HUH
Huatulco,HUX
Hue ,HUI
Humberside,HUY
Huntington (WV),HTS
Huntsville (AL),HSV
Hurghada ,HRG
Huron (SD),HON
Hwange National Park,HWN
Hyannis (MA),HYA
Hydaburg (AK),HYG
Hyderabad ,HYD
IbizaIbiza/,IBZ
Idaho Falls (ID),IDA
Iguazu, Cataratas,IGR
Ile des PinsNew Caledonia,ILP
Iliamna (AK),ILI
Imperial (CA),IPL
Incercargill,IVC
Incheon, Incheon  ,ICN
napolis (IN) ,IND
Ingham,IGH
Innisfail,IFL
Innsbruck ,INN
 Falls (MN),INL
Inuvik,YEV
Invercargill,IVC
Inverness,INV
Inykern (CA),IYK
Iqaluit (Frobisher Bay),YFB
Iquitos,IQT
Irkutsk,IKT
Ishigaki ,ISG
Islamabad ,ISB
Islay,ILY
Isle of Man,IOM
Istanbul ,IST
Ithaca/Cortland (NY),ITH
Ivalo,IVL
Ixtapa/Zihuatenejo,ZIH
Izmir,IZM
Jackson Hole (WY),JAC
Jacksonville (AR)  Little Rock AFB   ,LRF
Jacmel   ,JAK
Jacobabad,JAG
Jacobina   ,JCM
Jacquinot Bay New ,JAQ
Jaffna ,JAF
Jagdalpur,JGB
Jaipur ,JAI
Jaisalmer   ,JSA
Jakarta ,HLP
Jalalabad    ,JAA
Jalandhar,JLR
Jalapa,JAL
Jales,JLS
Jaluit Island  ,UIT
Jamba,JMB
Jambi ,DJB
Jambol,JAM
Jamestown (ND),JMS
Jammu ,IXJ
Jamnagar ,JGA
Jamshedpur ,IXW
Janakpur,JKR
Jandakot,JAD
Janesville (WI) ,JVL
Januaria,JNA
Jaque   ,JQE
Jatai,JTI
Jauja,JAU
Jayapura ,DJJ
Jeddah ,JED
Jefferson City (MO) ,JEF
Jeremie ,JEE
Jerez de la Frontera/Cadiz ,XRY
JerseyChannel Islands,JER
Jerusalem ,JRS
Jessore ,JSR
Jeypore ,PYB
Ji'anJiangxi, ,JGS
Jiamusi ,JMU
Jiayuguan ,JGN
Jijel,GJL
Jijiga,JIJ
JilinPR ,JIL
Jimma,JIM
JinanShandong, PR ,TNA
JingdezhenPR ,JDZ
Jinghong ,JHG
JiningPR ,JNG
Jinja,JIN
JinjiangPR ,JJN
Jinka ,BCO
Jinzhou ,JNZ
Jipijapa,JIP
Jiri,JIR
Jiujiang ,JIU
Jiwani,JIW
Joacaba,JCB
Joao Pessoa ,JPA
Jodhpur,JDH
Jönköping (Jonkoping) ,JKG
Joensuu,JOE
Johannesburg ,JNB
Johnson City (NY) ,BGM
Johnston Island,JON
Johnstown (PA),JST
Johor Bahru ,JHB
Joinville ,JOI
Jolo,JOL
Jomsom,JMO
Jonesboro (AR)  Jonesboro ,JBR
Joplin (MO),JLN
Jorhat ,JRH
Josia,JOS
Jose De San Martin,JSM
Jouf,AJF
Juanjui,JJI
Juba,JUB
Juist (island),JUI
Juiz De Fora ,JDF
Jujuy ,JUJ
Julia Creek,JCK
Juliaca,JUL
Jumla,JUM
Jundah,JUN
Juneau (AK) ,JNU
Junin,JNI
Juticalpa,JUT
Jwaneng,JWA
Jyväskylä (Jyvaskyla),JYV
Kabul ,KBL
Kagoshima,KOJ
Kahramanmaras,KCM
Kahului (HI),OGG
Kajaani,KAJ
Kalamata,KLX
Kalamazoo/Battle Creek (MI),AZO
Kalgoorlie,KGI
Kaliningrad,KGD
Kalispell (MT),FCA
Kalmar,KLR
Kamloops, BC,YKA
Kamuela (HI),MUE
Kanoia,KAN
Kanpur,KNU
Kansas City (MO) ,MCI
Kaohsiung ,KHH
Kapalua West (HI),JHM
Karachi ,KHI
Karlsruhe,FKB
Karlstad,KSD
Karpathos,AOK
Karratha,KTA
Kars,KYS
Karumba,KRB
Karup,KRP
Kaschechawan, PQ,ZKE
Kassala,KSL
Katherine,KTR
Kathmandu ,KTM
Katima Mulilo/Mpacha,MPA
Kauhajoki,KHJ
Kaunakakai (HI),MKK
Kavalla,KVA
Kayseri,ASR
Kazan ,KZN
Keetmanshoop,KMP
Kelowna, BC,YLW
Kemi/Tornio,KEM
Kenai (AK),ENA
Kent (Manston) Kent ,MSE
Kerry County,KIR
Ketchikan (AK),KTN
Key West (FL),EYW
Khamis Mushayat,AHB
Kharga ,UVL
Kharkov,HRK
Khartoum ,KRT
Khuzdar,KDD
Kiel ,KEL
Kiev ,KBP
Kigali ,KGL
Kilimadjaro,JRO
Killeem (TX),ILE
Kimberley,KIM
King IslandKing Island (),KNS
Kingscote,KGC
Kingston ,KIN
Kingstown ,SVD
Kinshasa ,FIH
Kiritimati (island) ,CXI
Kirkenes,KKN
Kirkuk,KIK
Kirkwall (Orkney),KOI
Kiruna,KRN
Kisangani (DRC),FKI
Kittilä,KTT
Kitwe,KIW
Klagenfurt,KLU
Klamath Fall (OR),LMT
Klawock (AK),KLW
Kleinsee,KLZ
Knock,NOC
Knoxville (TN),TYS
Kobe,B
Kochi,KCZ
Köln, Köln/Bonn,CGN
Kodiak (AK),ADQ
Kohat,OHT
Kokkola/Pietarsaari,KOK
Kolkata (Calcutta) ,CCU
Komatsu,KMQ
Kona (HI),KOA
Konya,KYA
KorhogoCote d'Ivoire,HGO
Kos,KGS
Kota Kinabalu,BKI
Kotzbue (AK),OTZ
Kowanyama,KWM
Krakow (Cracow) ,KRK
Kristiansand,KRS
Kristianstad,KID
Kristiansund,KSU
Kuala Lumpur ,KUL
Kuantan,KUA
Kuching,KCH
Kumamoto,KMJ
Kununurra,KNX
Kuopio,KUO
Kushiro,KUH
Kuujjuaq (FortChimo),YVP
Kuujjuarapik,YGW
Kuusamo,KAO
 ,KWI
Kyoto,Y
Labe,LEK
Labouchere Bay (AK),WLB
Labuan,LBU
Lac Brochet, MB,XLB
La Coruna,LCG
Lae ,LAE
Lafayette (IN),LAF
Lagos ,LOS
Lahore,LHE
Lake Charles (LA),LCH
Lakselv,LKL
Lambarene,LBQ
Lamezia Terme,SUF
Lampedusa,LMP
Lanai City (HI),LNY
Lancaster (PA),LNS
Land's End,LEQ
Langkawi (islands),LGK
Lannion,LAI
Lanseria,HLA
Lansing (MI),LAN
Lappeenranta,LPP
Laramie (WY),LAR
Laredo (TX),LRD
Larnaca,LCA
Las Palmas,LPA
Latrobe (PA),LBE
Launceston,LST
Laurel/Hattisburg (MS),PIB
Laverton,LVO
Lawton (OK),LAW
Lazaro Cardenas,LZC
Leaf Rapids,YLR
Learmouth (Exmouth),LEA
 (NH),LEB
Leeds/Bradford,LBA
Leinster,LER
Leipzig,LEJ
Lelystad,LEY
Leon,BJX
Leonora,LNO
Lerwick/Tingwall (Shetland Islands),LWK
Lewiston (ID),LWS
Lewistown (MT),LWT
Lexington (KY),LEX
Libreville,LBV
Lidkoeping,LDK
Liege,LGG
LifouLoyaute, Pazifik,LIF
Lihue (HI),LIH
Lille ,LIL
Lilongwe ,LLW
Lima ,LIM
Limassol,QLI
Limoges,LIG
Lincoln (NE),LNK
Lindeman Island,LDC
Linz ,LNZ
Lisala (DRC),LIQ
Lisbon ,LIS
Lismore,LSY
Little Rock (AR),LIT
Liverpool,LPL
Lizard Island,LZR
Ljubljana ,LJU
Lockhart River,IRG
Lome,LFW
London,YXU
Londonderry ,LDY
Long Beach (CA),LGB
Longreach,LRE
Longview/Kilgore (TX),GGG
Longyearbyen ,LYR
Loreto,LTO
Lorient,LRT
Los Angeles (CA) ,LAX
Losinj ,LSZ
Lourdes/Tarbes,LDE
Louisville (KY),SDF
Luanda ,LAD
Lubbock (TX),LBB
Lucknow,LKO
Luederitz,LUD
Luga,MLA
Lugano,LUG
Lulea,LLA
Lumbumbashi (DRC),FBM
Lusaka ,LUN
Lusisiki,LUJ
,LUX
Luxi ,LUM
Luxor,LXR
Lvov (Lwow, Lemberg),LWO
Lydd ,LYX
Lynchburg (VA),LYH
Lyon ,LYS
Lyons (KS) ,LYO
Maastricht/Aachen,MST
Macapa ,MCP
Macau ,MFM
Maceio ,MCZ
Mackay,MKY
Macon (GA),MCN
Mactan Island ,NOP
Madinah (Medina) ,MED
Madison (WI) ,MSN
Madras (Chennai) ,MAA
Madrid ,MAD
Mahe ,SEZ
Mahon,MAH
Maitland,MTL
Majunga,MJN
Makung,MZG
Malabo ,SSG
Malaga,AGP
Malatya,MLX
Male ,MLE
ndi,MYD
Malmo (Malmoe),MMA
ManCote d'Ivoire,MJC
Managua ,MGA
Manaus ,MAO
Manchester,MAN
Mandalay ,MDL
Manguna New ,MFO
ManihiFrench Polynesia,XMH
Manila ,MNL
Manzanillo,ZLO
Manzini ,MTS
Maputo ,MPM
Mar del Plata,MDQ
Maracaibo ,MAR
Maradi,MFQ
Maras,KCM
Marathon (FL),MTH
Mardin,MQM
MareNew Caledonia,MEE
Margate,MGH
Margerita,PMV
Maribor,MBX
Mariehamn (Maarianhamina),MHQ
Maroua,MVR
Marquette (MI),MQT
Marrakesh ,RAK
Marsa Alam,RMF
Marseille ,MRS
Marsh Harbour,MHH
Martha's Vineyard (MA),MVY
Martinsburg (WV),MRB
Maryborough,MBH
Maseru ,MSU
Mason City IA,MCW
Masvingo,MVZ
Matsumoto, Nagano,MMJ
Matsuyama,MYJ
Mattoon (IL),MTO
Maun,MUB
MaupitiFrench Polynesia,MAU
 ,MRU
MayaguezPuerto Rico,MAZ
Mazatlan,MZT
McAllen (TX),MFE
Medan ,MES
Medellin ,MDE
Medford (OR),MFR
Medina,MED
Meekatharra,MKR
Melbourne ,MEL
Melville Hall,DOM
Memphis (TN),MEM
Mendoza,MDZ
Manado,MDC
Merced (CA),MCE
Merida,MID
Meridian (MS),MEI
Merimbula,MIM
Messina,MEZ
Metlakatla (AK),MTM
Metz ,MZM
Metz/Nancy Metz,ETZ
Mexicali,MXL
 City ,MEX
Mfuwe,MFU
Miami (FL),MIA
Mianwali,MWD
Middlemount,MMM
Midland/Odessa (TX),MAF
Midway Island ,MDY
Mikkeli,MIK
Milan,MIL
Mildura,MQL
Miles City (MT),MLS
Milford Sound,MFN
Milwaukee (WI),MKE
Minatitlan,MTT
Mineralnye Vody,MRV
Minneapolis ,MSP
Minot (ND),MOT
Minsk, ,MSQ
Miri,MYY
Mirpur,QML
Missula (MT),MSO
Mitchell (SD),MHE
Miyako Jima (Ryuku Islands) ,MMY
Miyazaki,KMI
Mkambati,MBM
Moanda,MFF
Mobile (AL) ,MOB
Modesto (CA),MOD
Moenjodaro,MJD
Mogadishu,MGQ
Mokuti,OKU
Moline/Quad Cities (IL),MLI
Mombasa ,MBA
Monastir,MIR
Moncton,YQM
Monroe (LA),MLU
Monrovia ,MLW
Montego Bay ,MBJ
,QGF
Monterey (CA),MRY
Monterrey ,MTY
Montevideo ,MVD
Montgomery (AL) ,MGM
Montpellier ,MPL
Montreal,YMQ
Montrose/Tellruide (CO),MTJ
MooreaFrench Polynesia,MOZ
Moranbah,MOV
Moree,MRZ
Morelia,MLM
Morgantown (WV),MGW
Morioka, Hanamaki,HNA
Moroni ,HAH
Moruya,MYA
Moscow ,MOW
Moses Lake (WA),MWH
Mossel Bay,MZY
MostarBosnia and Herzegovina,OMO
Mosul,OSM
Mouila,MJL
Moundou,MQQ
Mount Cook,GTN
Mt. Isa,ISA
Muenchen (Munich) ,MUC
Muenster/Osnabrueck,FMO
Mulhouse,MLH
Multan,MUX
Murcia,MJV
Murmansk,MMK
Mus,MSR
Muscat ,MCT
Muscle Shoals (AL),MSL
Muskegon (MI),MKG
Muzaffarabad,MFG
Mvengue,MVB
Mykonos,JMK
Myrtle Beach (SC) ,MYR
Mysore,MYQ
Mytilene (Lesbos),MJT
Mzamba,MZF
Nadi,NAN
Nagasaki,NGS
Nagoya ,NGO
Nagpur,NAG
Nairobi,NBO
Nakhichevan,NAJ
Nakhon Si Thammarat,NST
Nancy,ENC
Nanisivik,YSR
NanningGuangxi, PR ,NNG
Nantes ,NTE
Nantucket (MA),ACK
Naples ,NAP
Narrabri,NAA
Narrandera,NRA
NarsarsuaqGreenland,UAK
Nashville (TN),BNA
Nassau,NAS
Natal ,NAT
Nausori/Suva,SUV
Nawab Shah,WNS
Naxos ,JNX
N'Djamena,NDJ
N'Dola,NLA
Nelson,NSN
Nelspruit,NLP
NevisSt. Kitts and Nevis,NEV
New Bern (NC),EWN
Newquay,NQY
Newburgh (NY),SWF
Newcastle ,BEO
Newman,ZNE
Newport News/Williamsburg (VA),PHF
N'Gaoundere,NGE
Niagara Falls ,IAG
Niamey,NIM
Nice ,NCE
Nicosia,NIC
Nikolaev,NLV
Niigata,KIJ
Nimes,FNI
Nis,INI
Nizhny Novgorod ,GOJ
Nome (AK),OME
Noosa,NSA
Norfolk Island,NLK
Norfolk/Virginia Beach (VA),ORF
Norman Wells,YVQ
Norrkoeping,NRK
North Bend (OR),OTH
Norwich,NWI
Nottingham ,EMA
Nouadhibou,NDB
Nouakchott,NKC
NoumeaNew Caledonia,NOU
Novi Sad,QND
Novosibirsk ,OVB
Nürnberg (Nuremberg),NUE
Nuevo Laredo,NLD
Nuku'alofa ,TBU
Oakland (CA),OAK
Oaxaca ,OAX
Odense,ODE
Odessa,ODS
Oerebro,ORB
Ohrid,OHD
Oita,OIT
Okayama,OKJ
Okinawa, Ryukyo Island ,OKA
Oklahoma City (OK) ,OKC
Olbia,OLB
Olympic Dam,OLP
Omaha (NE),OMA
Ondangwa,OND
Ontario (CA),ONT
Oran (Ouahran),ORN
Orange,OAG
Oranjemund,OMD
Oranjestad ,AUA
Orkney ,KOI
Orlando Metropolitan Area (FL),ORL
Orpheus Island,ORS
Osaka, Metropolitan Area,OSA
Oshkosh (WI),OSH
